dataset,freeze_level,lr,weight_decay,batch_size,epochs,step_lr
sun397,-1,0.001,0.0005,64,150,50
sun397,4,0.01,0.0005,64,150,50
aircraft,-1,0.01,0.0005,64,150,50
aircraft,4,0.01,0.0005,64,150,50
birds,-1,0.01,0.0005,64,150,50
birds,4,0.01,0.0005,64,150,50
caltech101,-1,0.001,0.0005,64,150,50
caltech101,4,0.01,0.0005,64,150,50
caltech256,-1,0.001,0.0005,64,150,50
caltech256,4,0.01,0.0005,64,150,50
cifar10,-1,0.001,0.0005,64,150,50
cifar10,4,0.01,0.0005,64,150,50
cifar100,-1,0.001,0.0005,64,150,50
cifar100,4,0.01,0.0005,64,150,50
dtd,-1,0.001,0.0005,64,150,50
dtd,4,0.01,0.0005,64,150,50
flowers,-1,0.01,0.0005,64,150,50
flowers,4,0.01,0.0005,64,150,50
food,-1,0.01,0.0005,64,150,50
food,4,0.01,0.0005,64,150,50
pets,-1,0.001,0.0005,64,150,50
pets,4,0.01,0.0005,64,150,50
cars,-1,0.01,0.0005,64,150,50
cars,4,0.01,0.0005,64,150,50